,Year,Kilometers_Driven,Owner_Type,Mileage,Engine,Power,Seats,Price,Location_Bangalore,Location_Chennai,Location_Coimbatore,Location_Delhi,Location_Hyderabad,Location_Jaipur,Location_Kochi,Location_Kolkata,Location_Mumbai,Location_Pune,Fuel_Type_Diesel,Fuel_Type_LPG,Fuel_Type_Petrol,Transmission_Manual
0,2010,72000.0,1,26.6,998,58.16,5.0,1.75,0,0,0,0,0,0,0,0,1,0,0,0,0,1
1,2015,41000.0,1,19.67,1582,126.2,5.0,12.5,0,0,0,0,0,0,0,0,0,1,1,0,0,1
2,2011,46000.0,1,18.2,1199,88.7,5.0,4.5,0,1,0,0,0,0,0,0,0,0,0,0,1,1
3,2012,87000.0,1,20.77,1248,88.76,7.0,6.0,0,1,0,0,0,0,0,0,0,0,1,0,0,1
4,2013,40670.0,2,15.2,1968,140.8,5.0,17.74,0,0,1,0,0,0,0,0,0,0,1,0,0,0
5,2012,75000.0,1,21.1,814,55.2,5.0,2.35,0,0,0,0,1,0,0,0,0,0,0,1,0,1
6,2013,86999.0,1,23.08,1461,63.1,5.0,3.5,0,0,0,0,0,1,0,0,0,0,1,0,0,1
7,2016,36000.0,1,11.36,2755,171.5,8.0,17.5,0,0,0,0,0,0,0,0,1,0,1,0,0,0
8,2013,64430.0,1,20.54,1598,103.6,5.0,5.2,0,0,0,0,0,0,0,0,0,1,1,0,0,1
9,2012,65932.0,2,22.3,1248,74.0,5.0,1.95,0,1,0,0,0,0,0,0,0,0,1,0,0,1
10,2018,25692.0,1,21.56,1462,103.25,5.0,9.95,0,0,0,0,0,0,1,0,0,0,0,0,1,1
11,2012,60000.0,1,16.8,1497,116.3,5.0,4.49,0,0,0,0,0,0,0,1,0,0,0,0,1,0
12,2015,64424.0,1,25.2,1248,74.0,5.0,5.6,0,0,0,0,0,1,0,0,0,0,1,0,0,1
13,2014,72000.0,1,12.7,2179,187.7,5.0,27.0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
14,2012,85000.0,2,18.0,2179,115.0,5.0,17.5,0,0,0,0,0,0,0,0,0,1,1,0,0,0
15,2014,110000.0,1,13.5,2477,175.56,7.0,15.0,0,0,0,1,0,0,0,0,0,0,1,0,0,1
16,2016,58950.0,1,25.8,1498,98.6,5.0,5.4,0,0,0,0,0,0,1,0,0,0,1,0,0,1
17,2017,25000.0,1,28.4,1248,74.0,5.0,5.99,0,0,0,0,0,1,0,0,0,0,1,0,0,1
18,2014,77469.0,1,20.45,1461,83.8,5.0,6.34,0,0,0,0,0,0,1,0,0,0,1,0,0,1
19,2014,78500.0,1,14.84,2143,167.62,5.0,28.0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
20,2014,32982.0,1,22.69,1995,190.0,5.0,18.55,0,0,0,0,0,0,1,0,0,0,1,0,0,0
21,2015,55392.0,2,23.65,1248,88.5,5.0,8.25,1,0,0,0,0,0,0,0,0,0,1,0,0,1
22,2015,55985.0,1,13.53,1984,177.01,5.0,23.5,0,0,0,0,0,0,0,0,1,0,0,0,1,0
23,2010,45807.0,1,18.5,1197,80.0,5.0,1.87,0,0,0,0,0,0,0,1,0,0,0,0,1,1
24,2010,33000.0,1,14.4,1598,103.6,5.0,2.85,0,0,0,0,0,0,0,1,0,0,0,0,1,0
25,2012,51920.0,1,16.8,1497,116.3,5.0,4.25,0,0,0,0,0,0,0,0,1,0,0,0,1,1
26,2012,54000.0,1,23.08,1461,63.1,5.0,4.25,0,0,0,0,1,0,0,0,0,0,1,0,0,1
27,2013,54000.0,2,20.92,998,67.1,5.0,2.75,0,0,0,0,1,0,0,0,0,0,0,0,1,1
